"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.beyondmeat.com/en-GB/","1","Beyond Meat is plant-based, vegan meat that's tasty & better for you and for our planet. Find us in the meat aisle or subscribe for Beyond Meat delivery.","153","931","Indexable",""
"https://www.beyondmeat.com/en-GB/buy/","1","Find out how you can get Beyond Meat in the aisles, at the door, or on the menu.","80","493","Indexable",""
"https://www.beyondmeat.com/en-GB/contact","1","Click here for product inquiries, restaurant & food service inquires, international sales inquires, press inquiries, or to contact our headquarters or plant.","157","920","Indexable",""
"https://www.beyondmeat.com/en-GB/mission","1","Learn more about the impacts of shifting from animal to plant-based meat, & how it can have a great impact on our personal health & the health of our planet.","157","972","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?zip=","1","Find Beyond Meat on the menus of restaurants & in the meat aisles of stores near you.","85","532","Indexable",""
"https://www.beyondmeat.com/en-GB/food-service","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?product=850004207413&search=true","1","Find Beyond Meat on the menus of restaurants & in the meat aisles of stores near you.","85","532","Indexable",""
"https://www.beyondmeat.com/en-GB/privacy-policy","1","Click here to read our privacy policy.","38","221","Indexable",""
"https://www.beyondmeat.com/en-GB/about/our-ingredients","1","Ingredients. Plants based meat","30","193","Indexable",""
"https://www.beyondmeat.com/en-GB/terms-of-use","1","Click here to read our terms of use.","36","214","Indexable",""
"https://www.beyondmeat.com/en-GB/products/the-beyond-burger","1","Beyond Meat burger patties are the iconic plant-based burger patties that put burgers made from plants on the map. They're everything a burger is.","146","905","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom/","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/faqs","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?&search=true","1","Find Beyond Meat on the menus of restaurants & in the meat aisles of stores near you.","85","532","Indexable",""
"https://www.beyondmeat.com/en-GB/whats-new/romelu-lukaku-goes-beyond","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products","1","From breakfast sausages to burgers & tenders, our Plant-Based products leave you feeling satisfied. Stock up in the meat aisle & head for the nearest cookout!","158","976","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-meatballs?variant=italian-style","1","Beyond Meat is in a restaurant, meat aisle, or meat store near you. See our Where to Find page for the partner store or restaurant closest to you.","146","885","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-sausage?variant=brat-original","1","Beyond Sausage is our take on classic brats, hot sausage, & Italian sausage. It's plant-based vegetarian sausage that tastes great & is soy, gluten, & GMO free.","160","977","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/lukaku-s-beyond-bangers-and-mash","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/null","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/oven-baked-beyond-meatballs-in-tomato-and-red-wine-sauce","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/smoky-winter-warmer-burger-with-mushroom-and-maple-glazed-squash","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/chimichurri-beyond-burger","1","","0","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/5-ingredient-vegan-smoky-mince-and-roasted-pepper-quesadilla","1","","0","0","Indexable",""
